tsUtc,sensorId,gas,reading,unit,basis,nonce,bootId,calibCertHash,clockDriftMs,sigB64,lineB3
2025-10-30T15:32:04.318Z,sensor_03,CO2,712.6301914180376,ppm,dry,2,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,9bf98dd79ec21897db0092637cfa1447569b78a36c4fc3379c6a04ba9566565f,12629,CqxGJRhPh2tf7NTx00AMImwuEst0BsWNZugUAZgVj3+nhW/io0/F4+DxU+6zV8HlKtZHwNf3LCwx25J+6Dk8Ag==,1a22a9b3c9f04c28a45c9c9941d63457a01da1b09356ec58a5ac4faa24d53305
2025-10-30T15:32:09.32Z,sensor_03,CO2,723.0320401513917,ppm,dry,3,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,144394b7ccd998db68011e36ca725615603e702f3f3c486459a6a8e91068fc0b,-1905,AahmODuhrtMl6XFYP7E8dlWhGCKxDHmCbT2D3l8Vmy0EhfDqo6bNL1vuusodS2mpDxc4cCbRrtfLhGVdLauCAA==,6084106d45b3defdd220529d4e044606212120e0b4a3d3b5bb2b794355fd8a01
2025-10-30T15:32:14.32Z,sensor_03,CO2,711.1459824303288,ppm,dry,4,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,bf6ed26dcfe33d64040cae010903ace62fdbc1466133f25eb33ad140b2af3957,-81859,oTGZAO14uPQrtTk53M/kR8jCUgwfOtKNwyNXTsW73ZgG8gznFuftA1Cvvsp99ffo0wWH8IWsqWSRonIYizT3Aw==,36ae5ef403e251f0bf18bd5bca90b5e7aae906f20f0e97987e5bb52abdf88320
2025-10-30T15:32:19.316Z,sensor_03,CO2,769.3457300675227,ppm,dry,5,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,2dc9e61cadb2224716f0f02ccdc574ca9db6de12830cab12a28095a4349effc3,101871,v2UbfoO4+k0rap9iaA0a7LHBD9E2P7VJJOORyqMCZ0+hZzHZ1+gv15iCFNNGU2vZ6h44dCSeoBr7iIqzk+inBA==,44cdf4f83f2bf15a65f72c3b8ea57f9ac6198226864da33f4d11f1bb71c3c67a
2025-10-30T15:32:24.316Z,sensor_03,CO2,716.3388528095998,ppm,dry,6,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,24045620e2a155b2c85a83180093ffb9bea38699cafb89844e7f0533f1c9831d,68189,osblVdjDYqnFjc1gCF30nZeOWyLLandKN76/Xn3uh9NuE7tDLvpspUnm7ARQFAaEVYrE7+eLPS/fM5f0pu4/BA==,a81a7e88ef4b8b216d069aaa9c61111aae6131f4a9fb51b35db6d7d564a1da54
2025-10-30T15:32:29.316Z,sensor_03,CO2,792.0751498539034,ppm,dry,7,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,ea714981316ad8917921fb21ddad466fedb30bd4b8d5e2e234dc0d91303fba77,4745,zELPDia+xQ/+TV72yLM/8DFgqTTNI5kQP1ZJ3YZTrrcVCuf3mHSqOfAv1PLjn0p1q6GGwYQB26DYRGrZqmFJBA==,f10545f6e0b344187d60c75c5346489f0a18ee6314f29048fc6b30126efd9c92
2025-10-30T15:32:34.32Z,sensor_03,CO2,719.3253757500818,ppm,dry,8,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,c8da9c9d46decbacfd7f9cc12e6a329feb2068052d5e15216dfd35902ce87c61,-107604,UfaWvQAvVHiDgpbVt04sxivZy3e4gvWXHfY705vSrEUUh/lKip/dmLCH+EmfANyfqET1AVt9Qpq+xvIBp9xaAg==,5b00ee40648e1568c1bf8ca2a5f0038ccedd647399cb15e1d0abd35fb0ba3922
2025-10-30T15:32:39.316Z,sensor_03,CO2,780.2517270861051,ppm,dry,9,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,2da638846d7bbabe839672095df48ae1ae3b090328117eed8a467a78fd66dd4b,6712,QfBawd/kW5zgTEnYpT8CG8ethKiMcjFHs+nQfJL9IPat0pNgAPeIxMmUwQYWkG7hDSXocyNinCtTHZma5sQZDA==,9dde94359ad076b42ab3d62da686e61092a4135a82b7232339e34d3d1de4757e
2025-10-30T15:32:44.32Z,sensor_03,CO2,757.5705747077996,ppm,dry,10,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,8db33f7a862f68f6295cabebb1d5db3fc3cfc533f06d820e3e27943d3246b569,45527,7/XDR1A7DgNoUZBtT6OFidd1KmiwaXQ10P1iY20oi9rNtD+v4dQajJKxAD48TEtIZ0rcKYUeF9BE/qQU4BWmBA==,824f2d8d3f4493e213f3a398588b2ed062b17e9726ca50741fad9167c5c84d9a
2025-10-30T15:32:49.316Z,sensor_03,CO2,781.012257214049,ppm,dry,11,dacb08bb-e29e-4c31-8a79-29fbc5ed0f62,209bef28f23ac1c45c77d12c27c1e6b8efab246d11dbefaec4b84bf41b3bda6b,36915,Ml3JjUGyHtnEEQ5n38a82tAgG6ZTK941/OOqBF6/53VWobEOcCgiLoitNymN6FbyC4rZcKYEPZeVbI4FYSfFBg==,150f2f12191c373c03bbfe39e551d43024e405b17422dc8e3be28cddd5f5186c
